Title,Year,Score,Description,Director,Screenplay,Type,Revenue
Sikandar,2025,48,A tragic accident pushes the powerful Sikandar to protect the less fortunate by standing up to corruption and greed — using any means necessary.,A.R. Murugadoss,A.R. Murugadoss,"Action, Drama","24,727,058.00"
Intimacy,2001,62,"Failed musician Jay abandoned his family and now earns a living as head bartender in a trendy London pub. Every Wednesday afternoon, a woman comes to his house for graphic, almost wordless, sex. One day, Jay follows her and learns about her. This eventually disrupts their relationship.",Patrice Chéreau,"Patrice Chéreau, Anne-Louise Trividic","Romance, Drama, Fantasy","2,672,527.00"
Companion,2025,71,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",Drew Hancock,,"Horror, Science Fiction, Thriller","36,709,101.00"
The Hangover,2009,73,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",Todd Phillips,"Jon Lucas, Scott Moore",Comedy,"469,310,836.00"
Fountain of Youth,2025,64,"A treasure-hunting mastermind assembles a team for a life-changing adventure. But to outwit and outrun threats at every turn, he'll need someone even smarter than he is: his estranged sister.",Guy Ritchie,,"Adventure, Fantasy, Mystery",
Road House,2024,70,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",Doug Liman,"Anthony Bagarozzi, Charles Mondry","Action, Thriller",
Echo Valley,2025,65,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.",Michael Pearce,,"Thriller, Drama",
Titan: The OceanGate Submersible Disaster,2025,71,OceanGate's Titan tourist submersible imploded in 2023 on a deep-sea dive to the Titanic. This documentary details how a bold vision ended in tragedy.,Mark Monroe,,"Documentary, Drama",
Pirates of the Caribbean: The Curse of the Black Pearl,2003,78,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",Gore Verbinski,"Terry Rossio, Ted Elliott","Adventure, Fantasy, Action","655,011,224.00"
Sew Torn,2024,70,"A seamstress gets tangled in her own thread after stealing a briefcase from a drug deal gone bad. In an escalating game of cat and mouse, her different choices lead to drastically different outcomes along the way.",Freddy Macdonald,,"Thriller, Comedy, Crime",
Devara: Part 1,2024,70,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",Koratala Siva,,"Action, Drama","49,520,000.00"
Fear Below,2025,66,A rag-tag team of divers attempting to salvage a sunken car from a river are thwarted by a highly aggressive bull shark.,Matthew Holmes,,"Horror, Action, Adventure, Thriller",
Hola Frida!,2025,72,"It’s the story of a little girl who is different. Her world is Coyoacan, Mexico City. Sparkling, vibrant, everything interests her and when difficulties arise, she faces them with an overflowing imagination. This little girl is called Frida Kahlo.","André Kadi, Karine Vézina","André Kadi, Anne Bryan, Sophie Faucher, Émilie Gabrielle","Animation, Family, History",
M3GAN,2022,71,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",Gerard Johnstone,Akela Cooper,"Science Fiction, Horror","181,796,517.00"
The Garfield Movie,2024,71,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",Mark Dindal,"David Reynolds, Paul A. Kaplan, Mark Torgove","Family, Comedy, Adventure, Animation","254,907,482.00"
The Adolescent,1979,50,"In the summer of 1939, 13-year-old Marie goes with her parents to visit her grandparents in a small town near Avignon. Marie discovers her femininity and falls for a young Jewish doctor, but he prefers Eva, Marie's mother.",Jeanne Moreau,,Drama,
Mission: Impossible - Dead Reckoning Part One,2023,75,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",Christopher McQuarrie,,"Action, Adventure, Thriller","571,125,435.00"
